text,label
"you are an absolute idiot and everyone hates you",toxic
"shut up you moron nobody asked for your opinion",toxic
"what a stupid worthless piece of garbage you are",toxic
"go away loser no one wants you here",toxic
"you are so dumb it hurts to read your posts",toxic
"i hope you fail at everything you pathetic clown",toxic
"get lost you disgusting freak",toxic
"you people are all brainless sheep",toxic
"that is the most idiotic thing i have ever heard",toxic
"you are trash and your work is trash",toxic
"nobody likes you because you are a horrible person",toxic
"stop being such a whiny little coward",toxic
"you are a complete waste of space",toxic
"only a total imbecile would say something like that",toxic
"i will destroy you and everything you love",toxic
"you are ugly stupid and useless",toxic
"kill yourself you are worthless anyway",toxic
"what a pathetic excuse for a human being",toxic
"you disgust me you vile creature",toxic
"everyone can see how dumb and fake you are",toxic
"you moron learn to read before you comment",toxic
"i hate you and hope terrible things happen to you",toxic
"you are a stupid ignorant fool",toxic
"crawl back into whatever hole you came from",toxic
"you are the dumbest person on this entire site",toxic
"shut your mouth you brainless troll",toxic
"you are a spineless pathetic little worm",toxic
"nobody cares about your garbage opinions idiot",toxic
"you make me sick you repulsive loser",toxic
"go rot you miserable piece of filth",toxic
"you are so incredibly stupid it is unbelievable",toxic
"what a joke you are grow up already loser",toxic
"you are a lying manipulative snake",toxic
"i cannot stand your stupid ugly face",toxic
"you are worthless and you always will be",toxic
"take your idiotic ideas and shove them",toxic
"you are nothing but a coward and a fraud",toxic
"everyone laughs at how pathetic you are",toxic
"you dumb animal you understand nothing",toxic
"get a clue you clueless imbecile",toxic
"you are a disgusting excuse for a person",toxic
"nobody will ever love someone as awful as you",toxic
"your comments are as stupid as your face",toxic
"you are a brain dead moron plain and simple",toxic
"shut it you insufferable arrogant jerk",toxic
"you are trash and everyone knows it",toxic
"i despise you and everything you stand for",toxic
"you are a pathetic sad little troll",toxic
"go away you worthless waste of oxygen",toxic
"you are too stupid to even understand why",toxic
"what a moron you cannot do anything right",toxic
"you are the worst and most useless person here",toxic
"you sicken me with your idiotic garbage",toxic
"you are a vile hateful disgusting human",toxic
"nobody wants your stupid opinion so shut up",toxic
"you are a clown and your whole life is a joke",toxic
"i hope you lose everything you deserve nothing",toxic
"you are an embarrassment to everyone around you",toxic
"stop talking you brainless waste of time",toxic
"you are a repulsive pathetic little coward",toxic
"thank you so much for the helpful explanation",clean
"i really enjoyed reading your article this morning",clean
"could you please share the link to the documentation",clean
"have a wonderful day and take care of yourself",clean
"the weather is lovely today perfect for a walk",clean
"i appreciate all the work you put into this project",clean
"let us meet tomorrow to discuss the new plan",clean
"that is a great point i had not considered before",clean
"congratulations on the launch it looks fantastic",clean
"i think we should test this feature before shipping",clean
"the recipe turned out delicious thanks for sharing",clean
"can you recommend a good book about elixir",clean
"i am looking forward to the meetup next week",clean
"your presentation was clear and very well organized",clean
"please let me know if you need any help with that",clean
"the train was a little late but i still made it",clean
"i love how the community here is so supportive",clean
"we finished the migration and everything works now",clean
"thanks for the feedback i will update the code today",clean
"the garden is blooming beautifully this spring",clean
"i grabbed a coffee before the standup meeting",clean
"this tutorial really helped me understand the concept",clean
"let me know what time works best for the call",clean
"the new library makes the code so much cleaner",clean
"i enjoyed the hike even though it started to rain",clean
"great job everyone the release went smoothly",clean
"could we add a few more tests to this module",clean
"i am grateful for your patience while i learned this",clean
"the museum exhibit was fascinating and inspiring",clean
"please review my pull request whenever you have time",clean
"i made pasta for dinner and it came out great",clean
"the documentation is really thorough and helpful",clean
"looking forward to seeing everyone at the conference",clean
"thanks for explaining that i understand it now",clean
"the sunset over the river was absolutely stunning",clean
"we should celebrate the team hit all its goals",clean
"i will send over the notes from the meeting shortly",clean
"your garden photos are lovely thanks for posting them",clean
"the code review comments were really constructive",clean
"i learned a lot from your talk about pattern matching",clean
"let us grab lunch sometime this week to catch up",clean
"the app loads much faster after the latest update",clean
"i appreciate you taking the time to answer my question",clean
"the concert last night was an amazing experience",clean
"please feel free to reach out if anything is unclear",clean
"we planted some tomatoes in the backyard today",clean
"thanks again for mentoring me through this process",clean
"the new design looks clean and easy to navigate",clean
"i hope you have a relaxing and restful weekend",clean
"the workshop gave me some great ideas to try out",clean
"could you double check the numbers in this report",clean
"i enjoyed collaborating with you on this feature",clean
"the library by the park is a nice quiet place to work",clean
"thank you for the warm welcome to the team",clean
"the bug is fixed and the tests are passing now",clean
"i am excited to start learning functional programming",clean
"your explanation made the tricky part much clearer",clean
"we can schedule the deployment for tomorrow morning",clean
"the coffee shop on the corner has great pastries",clean
"thanks for being so kind and helpful as always",clean
